"Setor";"Emitente";"Nº Fatura / ATCUD";"Tipo";"Data Emissão";"Total";"IVA";"Base Tributável";"Situação";"Comunicação  Emitente";"Comunicação  Adquirente"
"Outros";"500201307 - Nestlé Portugal, Unipessoal, Lda";"FT 901/38626371 / JF3MH634-38626371";"Fatura";"2025-07-23";"10,30 €";"1,93 €";"8,37 €";"Registado";"X";""
"";"504904620 - Donalber - Restauração Rápida, Unipessoal, Lda";"FS 2025005801A/111322 / JJWBVWMS-111322";"Fatura simplificada";"2025-11-20";"16,30 €";"1,91 €";"14,39 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680902407240956/091513 / JJK83B4X-091513";"Fatura simplificada";"2025-11-12";"14,11 €";"1,91 €";"12,20 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680912407251530/061654 / JJKZWZ95-061654";"Fatura simplificada";"2025-07-13";"10,19 €";"1,91 €";"8,28 €";"Pendente";"X";""
"Outros";"507170490 - Lojas Primark Portugal - Exploração Gestão e Administração de Espaços Comerciais S A";"FS 422009003/63912 / JJRVGWP9-63912";"Fatura simplificada";"2025-10-26";"10,00 €";"1,87 €";"8,13 €";"Registado";"X";""
"Alojamento, restauração e similares";"141156643 - Mario Jorge Lopes da Silva Lobo Alves";"16 2500/002689 / JJ9N3VKC-002689";"Fatura simplificada";"2025-07-22";"10,00 €";"1,87 €";"8,13 €";"Registado";"X";""
"";"504904620 - Donalber - Restauração Rápida, Unipessoal, Lda";"FS 2025005801A/51616 / JJWBVWMS-51616";"Fatura simplificada";"2025-06-01";"11,40 €";"1,86 €";"9,54 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680022212212020/267246 / JFV73FG5-267246";"Fatura simplificada";"2025-10-31";"9,67 €";"1,81 €";"7,86 €";"Pendente";"X";""
"";"504904620 - Donalber - Restauração Rápida, Unipessoal, Lda";"FS 2025005801A/79473 / JJWBVWMS-79473";"Fatura simplificada";"2025-08-24";"9,50 €";"1,78 €";"7,72 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 07070022309210854/123026 / JFD4GM4B-123026";"Fatura simplificada";"2025-12-17";"16,14 €";"1,73 €";"14,41 €";"Pendente";"X";""
"";"514264403 - David Alexandre - Barista Unipessoal Lda";"FT 2A2501/67571 / JJS2M9N8-67571";"Fatura-recibo";"2025-11-29";"14,85 €";"1,71 €";"13,14 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680902407240956/098071 / JJK83B4X-098071";"Fatura simplificada";"2025-12-14";"13,04 €";"1,70 €";"11,34 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680932511121515/000357 / J6F4D683-000357";"Fatura simplificada";"2025-11-15";"12,46 €";"1,65 €";"10,81 €";"Pendente";"X";""
"";"501526870 - Livraria Bertrand - Sociedade de Comercio Livreiro S A";"01 1M04012025/15016 / JJ9KDJV6-15016";"Fatura simplificada";"2025-07-06";"29,20 €";"1,65 €";"27,55 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680932311091414/082952 / JF87BNT6-082952";"Fatura simplificada";"2025-06-02";"15,37 €";"1,64 €";"13,73 €";"Pendente";"X";""
"";"504904620 - Donalber - Restauração Rápida, Unipessoal, Lda";"FS 2025005801A/78694 / JJWBVWMS-78694";"Fatura simplificada";"2025-08-21";"13,40 €";"1,63 €";"11,77 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680912407251530/051991 / JJKZWZ95-051991";"Fatura simplificada";"2025-05-26";"10,84 €";"1,56 €";"9,28 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680902407240956/090742 / JJK83B4X-090742";"Fatura simplificada";"2025-11-09";"10,26 €";"1,54 €";"8,72 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/311783 / JFVP3FR9-311783";"Fatura simplificada";"2025-08-16";"13,18 €";"1,52 €";"11,66 €";"Pendente";"X";""
"Saúde";"514328916 - Farmacias Tm, Lda";"FR U100/76516 / JJVDWFR8-76516";"Fatura-recibo";"2025-09-05";"26,27 €";"1,49 €";"24,78 €";"Registado";"X";""
"";"504904620 - Donalber - Restauração Rápida, Unipessoal, Lda";"FS 2025005801A/104889 / JJWBVWMS-104889";"Fatura simplificada";"2025-11-02";"10,40 €";"1,47 €";"8,93 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680922407240849/050163 / JJK739TP-050163";"Fatura simplificada";"2025-06-15";"8,48 €";"1,39 €";"7,09 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680902407240956/055605 / JJK83B4X-055605";"Fatura simplificada";"2025-05-31";"9,96 €";"1,39 €";"8,57 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/332392 / JFVP3FR9-332392";"Fatura simplificada";"2025-10-25";"11,94 €";"1,37 €";"10,57 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/303194 / JFVP3FR9-303194";"Fatura simplificada";"2025-07-19";"11,32 €";"1,30 €";"10,02 €";"Pendente";"X";""
"";"513688030 - Oriente21 - Sociedade Unipessoal Lda";"FS 2025016832A/27325 / JJW8XNFD-27325";"Fatura simplificada";"2025-12-09";"10,30 €";"1,28 €";"9,02 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680022212212020/263639 / JFV73FG5-263639";"Fatura simplificada";"2025-10-16";"14,41 €";"1,27 €";"13,14 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/298680 / JFVP3FR9-298680";"Fatura simplificada";"2025-07-05";"10,97 €";"1,26 €";"9,71 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680922407240849/051293 / JJK739TP-051293";"Fatura simplificada";"2025-06-22";"12,36 €";"1,26 €";"11,10 €";"Pendente";"X";""
"Outros";"503340855 - Lidl & Companhia";"FS 015308525/017306 / JJYCF22H-017306";"Fatura simplificada";"2025-06-18";"9,52 €";"1,25 €";"8,27 €";"Registado";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680902407240956/096463 / JJK83B4X-096463";"Fatura simplificada";"2025-12-05";"10,66 €";"1,23 €";"9,43 €";"Pendente";"X";""
"";"500569410 - Versailles Lda";"FS 030/2253516 / JF2RMMNS-2253516";"Fatura simplificada";"2025-07-23";"9,45 €";"1,22 €";"8,23 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/326200 / JFVP3FR9-326200";"Fatura simplificada";"2025-10-04";"10,51 €";"1,21 €";"9,30 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680932311091414/084048 / JF87BNT6-084048";"Fatura simplificada";"2025-06-10";"6,27 €";"1,17 €";"5,10 €";"Pendente";"X";""
"";"504904620 - Donalber - Restauração Rápida, Unipessoal, Lda";"FS 2025005801A/53306 / JJWBVWMS-53306";"Fatura simplificada";"2025-06-06";"6,10 €";"1,14 €";"4,96 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680912407251530/085051 / JJKZWZ95-085051";"Fatura simplificada";"2025-11-14";"8,97 €";"1,13 €";"7,84 €";"Pendente";"X";""
"Saúde";"514328916 - Farmacias Tm, Lda";"FR U100/77992 / JJVDWFR8-77992";"Fatura-recibo";"2025-09-15";"19,92 €";"1,13 €";"18,79 €";"Registado";"X";""
"";"500569410 - Versailles Lda";"FS 030/2252073 / JF2RMMNS-2252073";"Fatura simplificada";"2025-07-21";"8,65 €";"1,13 €";"7,52 €";"Pendente";"X";""
"Outros";"515217468 - Campeão das Chaves Codificadas Unipessoal Lda";"FC 19A/45484 / JFZ65JPT-45484";"Fatura-recibo";"2025-12-16";"6,00 €";"1,12 €";"4,88 €";"Registado";"X";""
"Outros";"507170490 - Lojas Primark Portugal - Exploração Gestão e Administração de Espaços Comerciais S A";"FS 422010003/54810 / JJRTGWZY-54810";"Fatura simplificada";"2025-11-01";"6,00 €";"1,12 €";"4,88 €";"Registado";"X";""
"Outros";"506058158 - Graphiti Lights Apoio a Projectos de Construção Civil Unipessoal Lda";"FACB-S 2/80869 / JFHDTV3H-80869";"Fatura simplificada";"2025-06-16";"5,95 €";"1,11 €";"4,84 €";"Registado";"X";""
"";"504271164 - Alveburguer - Refeições Rápidas, Unipessoal, Lda.";"FS 2025009126A/7500 / JJWWKJK6-7500";"Fatura simplificada";"2025-06-06";"9,60 €";"1,10 €";"8,50 €";"Pendente";"X";""
"";"514264403 - David Alexandre - Barista Unipessoal Lda";"FT 2A2501/73114 / JJS2M9N8-73114";"Fatura-recibo";"2025-12-26";"9,45 €";"1,09 €";"8,36 €";"Pendente";"X";""
"";"514264403 - David Alexandre - Barista Unipessoal Lda";"FT 2A2501/61613 / JJS2M9N8-61613";"Fatura-recibo";"2025-11-01";"9,45 €";"1,09 €";"8,36 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680902407240956/058242 / JJK83B4X-058242";"Fatura simplificada";"2025-06-13";"10,88 €";"1,08 €";"9,80 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/322139 / JFVP3FR9-322139";"Fatura simplificada";"2025-09-20";"9,30 €";"1,07 €";"8,23 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680922407240849/077007 / JJK739TP-077007";"Fatura simplificada";"2025-11-18";"7,72 €";"1,05 €";"6,67 €";"Pendente";"X";""
"";"504904620 - Donalber - Restauração Rápida, Unipessoal, Lda";"FS 2025005801A/64622 / JJWBVWMS-64622";"Fatura simplificada";"2025-07-09";"7,90 €";"1,05 €";"6,85 €";"Pendente";"X";""
"";"500569410 - Versailles Lda";"FS 030/2249350 / JF2RMMNS-2249350";"Fatura simplificada";"2025-07-16";"9,05 €";"1,04 €";"8,01 €";"Pendente";"X";""
"Alojamento, restauração e similares";"504903187 - Polar Internacional - Exploração de Restaurantes Sa";"FS 118/1491186 / JFNM8G2W-1491186";"Fatura simplificada";"2025-07-28";"7,60 €";"1,03 €";"6,57 €";"Registado";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/289805 / JFVP3FR9-289805";"Fatura simplificada";"2025-06-07";"8,83 €";"1,02 €";"7,81 €";"Pendente";"X";""
"";"500569410 - Versailles Lda";"FS 030/2254717 / JF2RMMNS-2254717";"Fatura simplificada";"2025-07-25";"7,55 €";"1,00 €";"6,55 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680902407240956/100165 / JJK83B4X-100165";"Fatura simplificada";"2025-12-23";"11,06 €";"0,99 €";"10,07 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680932311091414/089888 / JF87BNT6-089888";"Fatura simplificada";"2025-07-13";"7,26 €";"0,98 €";"6,28 €";"Pendente";"X";""
"";"501526870 - Livraria Bertrand - Sociedade de Comercio Livreiro S A";"01 1M03012025/12573 / JJ97DJZ8-12573";"Fatura simplificada";"2025-07-11";"17,00 €";"0,96 €";"16,04 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/352145 / JFVP3FR9-352145";"Fatura simplificada";"2025-12-29";"8,14 €";"0,94 €";"7,20 €";"Pendente";"X";""
"";"514264403 - David Alexandre - Barista Unipessoal Lda";"FT 2A2501/45384 / JJS2M9N8-45384";"Fatura-recibo";"2025-08-15";"8,10 €";"0,93 €";"7,17 €";"Documento Anulado pelo Emitente";"X";""
"";"514264403 - David Alexandre - Barista Unipessoal Lda";"FT 2A2501/45385 / JJS2M9N8-45385";"Fatura-recibo";"2025-08-15";"8,10 €";"0,93 €";"7,17 €";"Pendente";"X";""
"";"505416654 - Ikea Portugal Moveis e Decoração Lda";"FAC 3670102025/0000398 / JJPMVH8W-0000398";"Fatura";"2025-05-26";"5,00 €";"0,93 €";"4,07 €";"Pendente";"X";""
"";"500569410 - Versailles Lda";"FS 030/2254118 / JF2RMMNS-2254118";"Fatura simplificada";"2025-07-24";"7,95 €";"0,91 €";"7,04 €";"Pendente";"X";""
"";"501526870 - Livraria Bertrand - Sociedade de Comercio Livreiro S A";"01 1M04012025/15094 / JJ9KDJV6-15094";"Fatura simplificada";"2025-07-07";"15,50 €";"0,88 €";"14,62 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680902407240956/084104 / JJK83B4X-084104";"Fatura simplificada";"2025-10-09";"7,08 €";"0,87 €";"6,21 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/334314 / JFVP3FR9-334314";"Fatura simplificada";"2025-10-31";"5,55 €";"0,86 €";"4,69 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680902407240956/062016 / JJK83B4X-062016";"Fatura simplificada";"2025-06-30";"4,43 €";"0,83 €";"3,60 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"NC 08680552212212020/002176 / JFVV3FRG-002176";"Nota de crédito";"2025-06-28";"7,13 €";"0,82 €";"6,31 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/296397 / JFVP3FR9-296397";"Fatura simplificada";"2025-06-28";"7,13 €";"0,82 €";"6,31 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/313455 / JFVP3FR9-313455";"Fatura simplificada";"2025-08-22";"7,04 €";"0,81 €";"6,23 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/290757 / JFVP3FR9-290757";"Fatura simplificada";"2025-06-10";"7,00 €";"0,81 €";"6,19 €";"Pendente";"X";""
"Alojamento, restauração e similares";"516843745 - Mlricci, Lda";"FT 01P2025/19068 / JJ975K56-19068";"Fatura";"2025-11-28";"6,70 €";"0,77 €";"5,93 €";"Registado";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680912407251530/082005 / JJKZWZ95-082005";"Fatura simplificada";"2025-10-31";"4,63 €";"0,77 €";"3,86 €";"Pendente";"X";""
"";"500569410 - Versailles Lda";"FS 030/2249085 / JF2RMMNS-2249085";"Fatura simplificada";"2025-07-16";"5,40 €";"0,75 €";"4,65 €";"Pendente";"X";""
"Outros";"506058158 - Graphiti Lights Apoio a Projectos de Construção Civil Unipessoal Lda";"FACB-S 2/84041 / JFHDTV3H-84041";"Fatura simplificada";"2025-07-24";"3,85 €";"0,72 €";"3,13 €";"Registado";"X";""
"";"501323325 - Uniself Sociedade de Restaurantes Publicos e Privados Sa";"FS 521/298179 / JFKW477Y-298179";"Fatura simplificada";"2025-07-28";"6,20 €";"0,71 €";"5,49 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680042212212020/314190 / JFVD3FPF-314190";"Fatura simplificada";"2025-11-06";"5,72 €";"0,69 €";"5,03 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/338625 / JFVP3FR9-338625";"Fatura simplificada";"2025-11-15";"5,86 €";"0,67 €";"5,19 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/330618 / JFVP3FR9-330618";"Fatura simplificada";"2025-10-19";"5,86 €";"0,67 €";"5,19 €";"Pendente";"X";""
"";"514038942 - Irmãdona Supermercados, Unipessoal, Lda.";"FS 70540192025001/126603 / JJ9W6427-126603";"Fatura simplificada";"2025-11-19";"5,50 €";"0,66 €";"4,84 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/296828 / JFVP3FR9-296828";"Fatura simplificada";"2025-06-29";"5,78 €";"0,66 €";"5,12 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/288206 / JFVP3FR9-288206";"Fatura simplificada";"2025-06-02";"5,76 €";"0,66 €";"5,10 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680912407251530/060866 / JJKZWZ95-060866";"Fatura simplificada";"2025-07-09";"4,59 €";"0,65 €";"3,94 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/293904 / JFVP3FR9-293904";"Fatura simplificada";"2025-06-20";"5,52 €";"0,64 €";"4,88 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/327696 / JFVP3FR9-327696";"Fatura simplificada";"2025-10-09";"5,26 €";"0,61 €";"4,65 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/300289 / JFVP3FR9-300289";"Fatura simplificada";"2025-07-10";"5,26 €";"0,61 €";"4,65 €";"Pendente";"X";""
"";"501526870 - Livraria Bertrand - Sociedade de Comercio Livreiro S A";"01 1M04012025/15095 / JJ9KDJV6-15095";"Fatura simplificada";"2025-07-07";"10,45 €";"0,59 €";"9,86 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 07070552311271903/120307 / JFC6J84W-120307";"Fatura simplificada";"2025-12-26";"4,96 €";"0,57 €";"4,39 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/347159 / JFVP3FR9-347159";"Fatura simplificada";"2025-12-13";"4,96 €";"0,57 €";"4,39 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/288568 / JFVP3FR9-288568";"Fatura simplificada";"2025-06-03";"4,97 €";"0,57 €";"4,40 €";"Pendente";"X";""
"Outros";"506058158 - Graphiti Lights Apoio a Projectos de Construção Civil Unipessoal Lda";"FACB-S 2/94096 / JFHDTV3H-94096";"Fatura simplificada";"2025-12-29";"3,00 €";"0,56 €";"2,44 €";"Registado";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680912407251530/080904 / JJKZWZ95-080904";"Fatura simplificada";"2025-10-24";"2,98 €";"0,56 €";"2,42 €";"Pendente";"X";""
"";"513411950 - Amor Aos Pedaços Lda";"FT 11A2501/12844 / JJ8YJFNM-12844";"Fatura-recibo";"2025-09-20";"4,80 €";"0,55 €";"4,25 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/310879 / JFVP3FR9-310879";"Fatura simplificada";"2025-08-13";"4,66 €";"0,54 €";"4,12 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680912407251530/090141 / JJKZWZ95-090141";"Fatura simplificada";"2025-12-11";"3,89 €";"0,53 €";"3,36 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/290415 / JFVP3FR9-290415";"Fatura simplificada";"2025-06-09";"4,57 €";"0,53 €";"4,04 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680902407240956/087477 / JJK83B4X-087477";"Fatura simplificada";"2025-10-25";"2,79 €";"0,52 €";"2,27 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/309366 / JFVP3FR9-309366";"Fatura simplificada";"2025-08-08";"4,56 €";"0,52 €";"4,04 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680042212212020/302992 / JFVD3FPF-302992";"Fatura simplificada";"2025-09-27";"4,46 €";"0,51 €";"3,95 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/312752 / JFVP3FR9-312752";"Fatura simplificada";"2025-08-19";"4,47 €";"0,51 €";"3,96 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/291722 / JFVP3FR9-291722";"Fatura simplificada";"2025-06-13";"4,47 €";"0,51 €";"3,96 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/319747 / JFVP3FR9-319747";"Fatura simplificada";"2025-09-12";"4,32 €";"0,50 €";"3,82 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/285426 / JFVP3FR9-285426";"Fatura simplificada";"2025-05-24";"4,36 €";"0,50 €";"3,86 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/307220 / JFVP3FR9-307220";"Fatura simplificada";"2025-08-01";"4,27 €";"0,49 €";"3,78 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/297366 / JFVP3FR9-297366";"Fatura simplificada";"2025-07-01";"4,27 €";"0,49 €";"3,78 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/346238 / JFVP3FR9-346238";"Fatura simplificada";"2025-12-10";"4,17 €";"0,48 €";"3,69 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680902407240956/084737 / JJK83B4X-084737";"Fatura simplificada";"2025-10-12";"8,49 €";"0,48 €";"8,01 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/297045 / JFVP3FR9-297045";"Fatura simplificada";"2025-06-30";"4,17 €";"0,48 €";"3,69 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/352023 / JFVP3FR9-352023";"Fatura simplificada";"2025-12-29";"4,07 €";"0,47 €";"3,60 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/308479 / JFVP3FR9-308479";"Fatura simplificada";"2025-08-05";"3,96 €";"0,46 €";"3,50 €";"Pendente";"X";""
"Outros";"506848558 - Bcm Bricolage S A";"FS 20250025902/021243 / JJXFM2R5-021243";"Fatura simplificada";"2025-06-05";"2,48 €";"0,46 €";"2,02 €";"Registado";"X";""
"Alojamento, restauração e similares";"501627499 - Empreendimentos Hoteleiros da Quinta do Ferro Lda";"F 25014/17223 / JJ367272-17223";"Fatura-recibo";"2025-10-16";"3,90 €";"0,45 €";"3,45 €";"Registado";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/331537 / JFVP3FR9-331537";"Fatura simplificada";"2025-10-22";"3,86 €";"0,44 €";"3,42 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/291037 / JFVP3FR9-291037";"Fatura simplificada";"2025-06-11";"3,68 €";"0,42 €";"3,26 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/352335 / JFVP3FR9-352335";"Fatura simplificada";"2025-12-30";"3,57 €";"0,41 €";"3,16 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/348489 / JFVP3FR9-348489";"Fatura simplificada";"2025-12-17";"3,57 €";"0,41 €";"3,16 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/331356 / JFVP3FR9-331356";"Fatura simplificada";"2025-10-21";"3,56 €";"0,41 €";"3,15 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/314252 / JFVP3FR9-314252";"Fatura simplificada";"2025-08-25";"3,57 €";"0,41 €";"3,16 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/298333 / JFVP3FR9-298333";"Fatura simplificada";"2025-07-04";"3,58 €";"0,41 €";"3,17 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/331953 / JFVP3FR9-331953";"Fatura simplificada";"2025-10-23";"3,46 €";"0,40 €";"3,06 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/343237 / JFVP3FR9-343237";"Fatura simplificada";"2025-11-30";"3,36 €";"0,39 €";"2,97 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/330024 / JFVP3FR9-330024";"Fatura simplificada";"2025-10-17";"3,37 €";"0,39 €";"2,98 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/327884 / JFVP3FR9-327884";"Fatura simplificada";"2025-10-09";"3,26 €";"0,38 €";"2,88 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/321859 / JFVP3FR9-321859";"Fatura simplificada";"2025-09-19";"3,26 €";"0,38 €";"2,88 €";"Pendente";"X";""
"";"518124304 - Fabulapetitosa Unipessoal Lda";"FS 1A2501/93923 / JJS64ZN7-93923";"Fatura simplificada";"2025-10-15";"2,30 €";"0,37 €";"1,93 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/339009 / JFVP3FR9-339009";"Fatura simplificada";"2025-11-16";"3,16 €";"0,36 €";"2,80 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/336543 / JFVP3FR9-336543";"Fatura simplificada";"2025-11-08";"3,17 €";"0,36 €";"2,81 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/311216 / JFVP3FR9-311216";"Fatura simplificada";"2025-08-14";"2,97 €";"0,34 €";"2,63 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/305440 / JFVP3FR9-305440";"Fatura simplificada";"2025-07-26";"2,97 €";"0,34 €";"2,63 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/302915 / JFVP3FR9-302915";"Fatura simplificada";"2025-07-18";"2,97 €";"0,34 €";"2,63 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/295657 / JFVP3FR9-295657";"Fatura simplificada";"2025-06-25";"2,98 €";"0,34 €";"2,64 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680912407251530/053727 / JJKZWZ95-053727";"Fatura simplificada";"2025-06-04";"5,73 €";"0,34 €";"5,39 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/352155 / JFVP3FR9-352155";"Fatura simplificada";"2025-12-29";"2,89 €";"0,33 €";"2,56 €";"Pendente";"X";""
"";"500569410 - Versailles Lda";"FS 030/2341137 / JF2RMMNS-2341137";"Fatura simplificada";"2025-12-18";"2,90 €";"0,33 €";"2,57 €";"Pendente";"X";""
