"Setor";"Emitente";"Nº Fatura / ATCUD";"Tipo";"Data Emissão";"Total";"IVA";"Base Tributável";"Situação";"Comunicação  Emitente";"Comunicação  Adquirente"
"Outros";"507170490 - Lojas Primark Portugal - Exploração Gestão e Administração de Espaços Comerciais S A";"FS 422010003/54809 / JJRTGWZY-54809";"Fatura simplificada";"2025-11-01";"72,30 €";"13,52 €";"58,78 €";"Registado";"X";""
"";"516731564 - Petroseteais - Postos de Abastecimento e Lojas de Conveniencia Lda";"FS 263762001/288250 / JJVN9M2W-288250";"Fatura simplificada";"2025-08-24";"70,00 €";"13,09 €";"56,91 €";"Pendente";"X";""
"Outros";"502604751 - Nos Comunicações S A";"FT 202590/2656649 / JJBHKNJK-2656649";"Fatura";"2025-09-02";"69,26 €";"12,95 €";"56,31 €";"Registado";"X";""
"";"500052999 - Fuelgest 24 - Exploração de Postos de Abastecimento e Lojas de Conveniência - Sociedade Unipessoal Lda";"FS 270083005/144723 / JJ9XMJHY-144723";"Fatura simplificada";"2025-07-15";"67,05 €";"12,54 €";"54,51 €";"Pendente";"X";""
"";"516731564 - Petroseteais - Postos de Abastecimento e Lojas de Conveniencia Lda";"FS 263762001/250028 / JJVN9M2W-250028";"Fatura simplificada";"2025-06-29";"60,00 €";"11,22 €";"48,78 €";"Pendente";"X";""
"Outros";"517845687 - Alchemy Explorers - Combustiveis Lda";"FT 012010016088FAAA00000111612025/000011475 / JJBF99ZM-000011475";"Fatura-recibo";"2025-05-24";"60,00 €";"11,22 €";"48,78 €";"Registado";"X";""
"";"500052999 - Fuelgest 24 - Exploração de Postos de Abastecimento e Lojas de Conveniência - Sociedade Unipessoal Lda";"FS 270083005/140270 / JJ9XMJHY-140270";"Fatura simplificada";"2025-07-09";"57,00 €";"10,66 €";"46,34 €";"Pendente";"X";""
"Outros";"502604751 - Nos Comunicações S A";"FT 202590/3553712 / JJBHKNJK-3553712";"Fatura";"2025-12-03";"53,95 €";"10,09 €";"43,86 €";"Registado";"X";""
"";"503074586 - Spdad Soc Portuguesa de Distribuição de Artigos de Desporto Unipessoal Lda";"FS 00700448022023S00/0231857 / JF24MH75-0231857";"Fatura simplificada";"2025-11-29";"50,80 €";"9,50 €";"41,30 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680912407251530/060865 / JJKZWZ95-060865";"Fatura simplificada";"2025-07-09";"103,72 €";"9,40 €";"94,32 €";"Pendente";"X";""
"";"516731564 - Petroseteais - Postos de Abastecimento e Lojas de Conveniencia Lda";"FS 263762001/350626 / JJVN9M2W-350626";"Fatura simplificada";"2025-11-29";"50,00 €";"9,35 €";"40,65 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 06560772502131556/047377 / JJR9C4BD-047377";"Fatura simplificada";"2025-09-20";"61,85 €";"8,97 €";"52,88 €";"Pendente";"X";""
